,id,Locality,Type of property,Subtype of property,Type of sale,Fully equipped kitchen,Fireplace,Terrace,Garden,Garden area,Surface of the land,Surface area of the plot of land,Swimming pool,State of the building,Compound Listing,Price,Number of rooms,Living Area,Furnished,Terrace area,Number of facades
0,20320744,1150,APARTMENT,APARTMENT,residential_sale,1,0,1,1,290.0,290.0,0.0,0,GOOD,single,575000.0,3.0,160.0,0.0,40.0,3.0
1,20317718,9000,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,AS_NEW,compound,390000.0,3.0,96.0,0.0,29.0,2.0
2,20315842,9051,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,GOOD,compound,260000.0,1.0,76.0,0.0,12.0,3.0
3,20315799,9051,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,GOOD,compound,325000.0,1.0,81.0,0.0,13.0,3.0
4,20315776,9051,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,GOOD,compound,365000.0,3.0,101.0,0.0,13.0,3.0
5,20315874,9051,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,GOOD,compound,400000.0,3.0,111.0,0.0,27.0,2.0
6,20318337,1070,APARTMENT,PENTHOUSE,residential_sale,1,0,1,1,26.0,26.0,0.0,0,AS_NEW,compound,351500.0,1.0,83.0,0.0,26.0,2.0
7,20318338,1070,APARTMENT,PENTHOUSE,residential_sale,1,0,1,1,24.0,24.0,0.0,0,AS_NEW,compound,426500.0,3.0,113.0,0.0,28.0,2.0
8,20317581,9940,APARTMENT,GROUND_FLOOR,residential_sale,1,0,1,0,0.0,0.0,0.0,0,AS_NEW,compound,360000.0,2.0,103.0,0.0,36.0,2.0
9,20317589,9940,APARTMENT,PENTHOUSE,residential_sale,1,0,1,0,0.0,0.0,0.0,0,AS_NEW,compound,445000.0,2.0,122.0,0.0,48.0,2.0
10,20320164,1000,APARTMENT,GROUND_FLOOR,residential_sale,1,0,1,0,0.0,0.0,0.0,0,UNKNOWN,compound,370000.0,2.0,94.0,0.0,8.0,4.0
11,20320168,1000,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,UNKNOWN,compound,379000.0,2.0,93.0,0.0,8.0,4.0
12,20315465,1357,APARTMENT,APARTMENT,residential_sale,0,0,0,0,0.0,0.0,0.0,0,UNKNOWN,compound,209500.0,1.0,34.0,0.0,6.0,2.0
13,20315768,1730,APARTMENT,GROUND_FLOOR,residential_sale,0,0,1,1,15.0,15.0,0.0,0,AS_NEW,compound,320000.0,2.0,34.0,0.0,0.0,2.0
14,20313791,1050,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,JUST_RENOVATED,single,695000.0,2.0,94.0,0.0,21.0,2.0
15,20313211,1070,APARTMENT,KOT,residential_sale,0,0,0,0,0.0,0.0,0.0,0,AS_NEW,compound,132350.0,0.0,110.0,0.0,25.0,2.0
16,20313059,1070,APARTMENT,FLAT_STUDIO,residential_sale,1,0,1,0,0.0,0.0,0.0,0,AS_NEW,compound,199900.0,0.0,71.0,0.0,4.142857142857143,2.0
17,20313188,1070,APARTMENT,KOT,residential_sale,0,0,0,0,0.0,0.0,0.0,0,AS_NEW,compound,213600.0,0.0,87.0,0.0,7.714285714285714,2.0
18,20313178,1070,APARTMENT,FLAT_STUDIO,residential_sale,1,0,1,0,0.0,0.0,0.0,0,AS_NEW,compound,241050.0,0.0,93.0,0.0,11.0,2.0
19,20313160,1070,APARTMENT,FLAT_STUDIO,residential_sale,1,0,1,0,0.0,0.0,0.0,0,AS_NEW,compound,258650.0,0.0,90.0,0.0,2.0,2.0
20,20311819,2610,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,JUST_RENOVATED,single,395000.0,3.0,83.0,0.0,0.0,2.0
21,20318967,8300,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,GOOD,single,699000.0,2.0,100.0,0.0,11.0,2.0
22,20313639,1050,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,TO_RENOVATE,single,295000.0,2.0,114.0,0.0,14.0,2.0
23,20306459,1190,APARTMENT,FLAT_STUDIO,residential_sale,1,0,1,1,10.0,10.0,0.0,0,UNKNOWN,compound,199000.0,0.0,94.17142857142858,0.0,12.41934442112062,3.0
24,20306444,1190,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,UNKNOWN,compound,270000.0,1.0,85.0,0.0,30.0,2.0
25,20306448,1190,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,UNKNOWN,compound,330000.0,2.0,70.0,0.0,0.0,2.0
26,20306442,1190,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,UNKNOWN,compound,358000.0,3.0,126.0,0.0,11.0,4.0
27,20306446,1190,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,UNKNOWN,compound,449000.0,3.0,94.0,0.0,7.571428571428571,2.0
28,20306232,9300,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,UNKNOWN,compound,265250.0,3.0,101.0,0.0,13.0,4.0
29,20305847,9300,APARTMENT,APARTMENT,residential_sale,0,0,1,0,0.0,0.0,0.0,0,UNKNOWN,compound,288900.0,2.0,99.0,0.0,18.0,2.0
30,20306186,9310,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,UNKNOWN,compound,499032.0,3.0,86.0,0.0,16.0,2.0
31,20318949,3000,APARTMENT,PENTHOUSE,residential_sale,1,0,1,0,0.0,0.0,0.0,0,GOOD,single,425000.0,1.0,76.0,0.0,29.0,2.0
32,20302919,9000,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,AS_NEW,compound,305000.0,2.0,113.0,0.0,8.0,2.0
33,20315792,9051,APARTMENT,APARTMENT,residential_sale,1,0,1,0,0.0,0.0,0.0,0,GOOD,single,380000.0,2.0,105.0,0.0,8.0,2.0
34,20301512,1180,APARTMENT,FLAT_STUDIO,residential_sale,1,0,0,0,0.0,0.0,0.0,0,AS_NEW,compound,265000.0,0.0,67.0,0.0,4.0,4.0
