Code INS,Entités administratives,Langue,Région,Province,Arrondissement,Codes postaux,,,,,,,,,,,,,,,
11001,Aartselaar,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2630,,,,,,,,,,,,,,,
11002,Anvers,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2000,2018,2020,2030,2040,2050,2060,2100,2180,2600,2610,2660,,,,
11004,Boechout,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2530,2531,,,,,,,,,,,,,,
11005,Boom,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2850,,,,,,,,,,,,,,,
11007,Borsbeek,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2150,,,,,,,,,,,,,,,
11008,Brasschaat,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2930,,,,,,,,,,,,,,,
11009,Brecht,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2960,,,,,,,,,,,,,,,
11013,Edegem,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2650,,,,,,,,,,,,,,,
11016,Essen,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2910,,,,,,,,,,,,,,,
11018,Hemiksem,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2620,,,,,,,,,,,,,,,
11021,Hove,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2540,,,,,,,,,,,,,,,
11022,Kalmthout,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2920,,,,,,,,,,,,,,,
11023,Kapellen,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2950,,,,,,,,,,,,,,,
11024,Kontich,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2550,,,,,,,,,,,,,,,
11025,Lint,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2547,,,,,,,,,,,,,,,
11029,Mortsel,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2640,,,,,,,,,,,,,,,
11030,Niel,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2845,,,,,,,,,,,,,,,
11035,Ranst,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2520,,,,,,,,,,,,,,,
11037,Rumst,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2840,,,,,,,,,,,,,,,
11038,Schelle,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2627,,,,,,,,,,,,,,,
11039,Schilde,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2970,,,,,,,,,,,,,,,
11040,Schoten,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2900,,,,,,,,,,,,,,,
11044,Stabroek,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2940,,,,,,,,,,,,,,,
11050,Wijnegem,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2110,,,,,,,,,,,,,,,
11052,Wommelgem,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2160,,,,,,,,,,,,,,,
11053,Wuustwezel,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2990,,,,,,,,,,,,,,,
11054,Zandhoven,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2240,2242,2243,,,,,,,,,,,,,
11055,Zoersel,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2980,,,,,,,,,,,,,,,
11056,Zwijndrecht,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2070,,,,,,,,,,,,,,,
11057,Malle,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement d'Anvers,2390,,,,,,,,,,,,,,,
12002,Berlaar,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2590,,,,,,,,,,,,,,,
12005,Bonheiden,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2820,,,,,,,,,,,,,,,
12007,Bornem,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2880,,,,,,,,,,,,,,,
12009,Duffel,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2570,,,,,,,,,,,,,,,
12014,Heist-op-den-Berg,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2220,2221,2222,2223,,,,,,,,,,,,
12021,Lierre,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2500,,,,,,,,,,,,,,,
12025,Malines,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2800,2801,2811,2812,,,,,,,,,,,,
12026,Nijlen,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2560,,,,,,,,,,,,,,,
12029,Putte,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2580,,,,,,,,,,,,,,,
12030,Puurs,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2870,,,,,,,,,,,,,,,
12034,Sint-Amands,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2890,,,,,,,,,,,,,,,
12035,Sint-Katelijne-Waver,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2860,2861,,,,,,,,,,,,,,
12040,Willebroek,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Malines,2830,,,,,,,,,,,,,,,
13001,Arendonk,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2370,,,,,,,,,,,,,,,
13002,Baerle-Duc,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2387,,,,,,,,,,,,,,,
