Entités administratives,Nombre d'habitants,Revenu total net imposable,Revenu moyen par déclaration,Revenu médian par déclaration,Revenu moyen par habitant,Indice de richesse,Impôt d'Etat,Taxes communales et d'agglomération,Impôt total,Code INS
Belgique,11.697.557,254.676.934.997,37.594,28.145,21.772,100,55.067.368.599,4.016.904.513,59.084.273.113,01000
Région flamande,6.774.807,157.664.364.660,39.735,30.106,23.272,107,35.449.028.578,2.526.371.455,37.975.400.033,02000
Région wallonne,3.681.575,75.745.979.320,35.185,26.496,20.574,94,15.002.559.478,1.207.062.120,16.209.621.598,03000
Communauté germanophone,79.383,1.677.506.156,37.385,28.568,21.132,97,227.309.651,19.575.562,246.885.214,03001
Région de Bruxelles-Capitale,1.241.175,21.266.591.017,32.530,22.790,17.134,79,4.615.780.543,283.470.938,4.899.251.481,04000
Province d’Anvers,1.910.952,43.463.433.801,39.117,29.528,22.744,104,9.722.252.776,693.745.919,10.415.998.694,10000
Arrondissement d’Anvers,1.078.084,23.918.561.279,38.432,28.597,22.186,102,5.373.516.467,379.748.776,5.753.265.243,11000
Aartselaar,14.752,398.803.725,46.475,34.397,27.034,124,99.799.231,4.852.750,104.651.981,11001
Anvers,538.910,10.260.444.241,33.144,25.683,19.039,87,2.135.880.602,172.834.907,2.308.715.509,11002
Boechout,13.806,372.286.073,45.893,32.827,26.966,124,93.868.301,6.464.929,100.333.231,11004
Boom,19.062,385.191.530,35.052,27.780,20.207,93,79.867.977,6.302.519,86.170.497,11005
Borsbeek,11.309,241.895.451,37.667,29.577,21.390,98,51.769.408,3.605.989,55.375.397,11007
Brasschaat,38.575,1.016.646.549,44.845,31.615,26.355,121,244.459.549,14.794.498,259.254.046,11008
Brecht,30.387,758.067.899,43.104,32.681,24.947,115,175.690.946,12.446.494,188.137.439,11009
Edegem,22.761,604.980.112,46.533,34.133,26.580,122,151.142.810,9.876.241,161.019.051,11013
Essen,19.629,437.343.248,40.249,31.495,22.280,102,87.318.198,7.274.484,94.592.682,11016
Hemiksem,12.105,271.558.165,40.071,32.466,22.434,103,62.162.962,4.628.632,66.791.593,11018
Hove,8.444,259.698.488,54.650,35.621,30.755,141,70.010.016,5.245.107,75.255.123,11021
Kalmthout,19.422,497.832.712,44.910,33.168,25.632,118,116.401.085,8.961.580,125.362.666,11022
Kapellen,27.743,776.517.979,48.378,33.995,27.990,129,188.620.506,10.687.414,199.307.920,11023
Kontich,21.624,595.438.627,47.563,33.895,27.536,126,152.721.176,8.655.948,161.377.124,11024
Lint,8.548,238.317.131,49.158,34.512,27.880,128,60.238.810,4.793.355,65.032.165,11025
Mortsel,26.391,645.901.978,41.585,31.214,24.474,112,157.215.284,10.174.622,167.389.906,11029
Niel,10.799,239.800.766,38.765,31.517,22.206,102,52.816.755,4.182.974,56.999.729,11030
Ranst,19.609,510.777.742,44.935,33.354,26.048,120,124.445.445,8.022.410,132.467.856,11035
Rumst,15.417,393.114.835,43.987,33.441,25.499,117,95.177.841,6.158.163,101.336.004,11037
